zone,countryIt,countryEn
Zona 2,Sudan,Sudan
Zona 2,Sud Sudan,South Sudan
Zona 2,Swaziland,Swaziland
Zona 2,Tanzania,Tanzania
Zona 2,Territorio Britannico dell'Oceano Indiano,British Indian Ocean Territory
Zona 2,Togo,Togo
Zona 2,Tristan Da Cunha,Tristan Da Cunha
Zona 2,Uganda,Uganda
Zona 2,Zambia,Zambia
Zona 2,Zimbabwe,Zimbabwe
Zona 2,Anguilla,Eel
Zona 2,Antigua & Barbuda,Antigua & Barbuda
Zona 2,Argentina,Argentina
Zona 2,Aruba,Aruba
Zona 2,Bahamas,Bahamas
Zona 2,Barbados,Barbados
Zona 2,Belize,Belize
Zona 2,Bermuda,Bermuda
Zona 2,Bolivia,Bolivia
Zona 2,Bonaire - (Antille Olandesi),Bonaire - (Netherlands Antilles)
Zona 2,Brasile,Brazil
Zona 2,Canada,Canada
Zona 2,Cayman Islands,Cayman Islands
Zona 2,Cile,Chile
Zona 2,Colombia,Colombia
Zona 2,Costa Rica,Costa Rica
Zona 2,Cuba,Cuba
Zona 2,Curacao,Curacao
Zona 2,Dominica,Sunday
Zona 2,Ecuador,Ecuador
Zona 2,El Salvador,El Salvador
Zona 2,Falklands (Isole),Falklands (Islands)
Zona 2,Giamaica,Jamaica
Zona 2,Grenada,Grenada
Zona 2,Groenlandia,Greenland
Zona 2,Guadalupa,Guadeloupe
Zona 2,Guantanamo Bay,Guantanamo Bay
Zona 2,Guatemala,Guatemala
Zona 2,Guyana,Guyana
Zona 2,Guyana (Francese),Guyana (French)
Zona 2,Haiti,Haiti
Zona 2,Honduras,Honduras
Zona 2,Martinica,Martinique
Zona 2,Messico,Mexico
Zona 2,Montserrat,Montserrat
Zona 2,Nicaragua,Nicaragua
Zona 2,Panama,Panama
Zona 2,Paraguay,Paraguay
Zona 2,Peru,Peru
Zona 2,Porto Rico,Puerto Rico
Zona 2,Repubblica Dominicana,Dominican Republic
Zona 2,Saba - (Antille Olandesi),Saba - (Netherlands Antilles)
Zona 2,Saint Barthelemy - (St. Barth),Saint Barthelemy - (St. Barth)
Zona 2,Saitn Eustatius - (Antille Olandesi),Saitn Eustatius - (Netherlands Antilles)
Zona 2,S. Cristoforo,St. Christopher
Zona 2,Saint Lucia,Saint Lucia
Zona 2,Saint Pierre & Miquelon,Saint Pierre & Miquelon
Zona 2,Saint Vincent (E Granadines),Saint Vincent (And the Granadines)
Zona 2,Samoa Britanniche,British Samoa
Zona 2,Sint Maarten,Sint Maarten
Zona 2,South Georgia and The South Sandwich Islands,South Georgia and the South Sandwich Islands
Zona 2,Stati Uniti,United States
Zona 2,Suriname,Suriname
Zona 2,Trinidad & Tobago,Trinidad & Tobago
Zona 2,Turks And Caicos Is.,Turks and Caicos Is.
Zona 2,Uruguay,Uruguay
Zona 2,Venezuela,Venezuela
Zona 2,Vergini (Isole) - Br,Virgins (Islands) - Br
Zona 2,Vergini (Isole) Usa - (St. Tomas & St. Croix),Virgin (Islands) Usa - (St. Tomas & St. Croix)
Zona 2,Afghanistan,Afghanistan
Zona 2,Arabia Saudita,Saudi Arabia
Zona 2,Armenia,Armenia
Zona 2,Azerbaidjan,Azerbaijan
Zona 2,Bahrain,Bahrain
Zona 2,Bangladesh,bangladesh
Zona 2,Bhutan,Bhutan
Zona 2,Brunei,Brunei
Zona 2,Cambogia,Cambodia
Zona 2,China,China
Zona 2,Corea Del Nord - Rep. Dem.,North Korea - Democratic Rep.
Zona 2,Corea del Sud,South Korea
Zona 2,Emirati Arabi Uniti,United Arab Emirates
Zona 2,Filippine,Philippines
Zona 2,Georgia,Georgia
Zona 2,Giappone,Japan
Zona 2,Hong Kong,Hong Kong
Zona 2,India,India
Zona 2,Indonesia,Indonesia
Zona 2,Iran,Iran
Zona 2,Iraq,Iraq
Zona 2,Kazakistan,Kazakhstan
Zona 2,Kirghizistan,Kyrgyzstan
Zona 2,Kuwait,Kuwait
Zona 2,Laos,Laos
Zona 2,Macao,Macau
Zona 2,Maldive,Maldives
Zona 2,Malesia,Malaysia
Zona 2,Mongolia,Mongolia
Zona 2,Myanmar Burnma (Birmania),Myanmar Burnma (Burma)
Zona 2,Nepal,Nepal
Zona 2,Oman,Oman
Zona 2,Pakistan,Pakistan
Zona 2,Qatar,Qatar
Zona 2,Singapore,Singapore
Zona 2,Sri Lanka,Sri Lanka
Zona 2,Tagikistan,Tajikistan
Zona 2,Taiwan,Taiwan
Zona 2,Thailandia,Thailand
Zona 2,Timor Orientale (Est),East Timor (East)
Zona 2,Turkmenistan,Turkmenistan
Zona 2,Uzbekistan,Uzbekistan
Zona 2,Vietnam,Vietnam
Zona 3,Australia,Australia
Zona 3,Cook (Isole),Cook Islands
Zona 3,Fiji (Isole),Fiji (Islands)
Zona 3,Guam,Guam
Zona 3,Kiribati,Kiribati
Zona 3,Marshall (Isole),Marshall Islands
Zona 3,Micronesia (Isole Caroline),Micronesia (Caroline Islands)
Zona 3,Nauru,Nauru
Zona 3,Niue,Niue
Zona 3,Norfolk Island,Norfolk Island
Zona 3,Nuova Caledonia,New Caledonia
Zona 3,Nuova Zelanda,New Zeland
Zona 3,Palau,Palau
Zona 3,Papua Nuova Guinea,Papua New Guinea
Zona 3,Pitcairn,Pitcairn
Zona 3,Polinesia (Francese),French Polynesia)
Zona 3,Saipan (Isole Marianne),Saipan (Mariana Islands)
Zona 3,Salomone (Isole),Solomon Islands
Zona 3,Samoa (Americane),Samoa (American)
Zona 3, Scattered Islands,  Scattered Islands
Zona 3,Terre Australi e Antartiche Francesi,French Southern and Antarctic Lands
Zona 3,Tokelau,Tokelau
Zona 3,Tonga (Isole),Tonga (Islands)
Zona 3,Tuvalu,Tuvalu
Zona 3,Vanuatu,Vanuatu
Zona 3,Wake,Wake
Zona 3,Wallis & Futuna (Isole),Wallis & Futuna (Islands)
